api_hnd,module_api_name,argument_no,argument_name,argument_datatype,argument_type,behavior_basic_flag,behavior_complete_flag
23,kernel32_CreateFileW,4,dwCreationDisposition,DWORD,IN,0,1
23,kernel32_CreateFileW,5,dwFlagsAndAttributes,DWORD,IN,1,1
23,kernel32_CreateFileW,6,hTemplateFile,HANDLE,IN,1,1
24,kernel32_OpenFile,0,lpFileName,LPCSTR,IN,1,1
24,kernel32_OpenFile,1,lpReOpenBuff,LPOFSTRUCT,IN,0,1
24,kernel32_OpenFile,2,uStyle,UINT,IN,0,1
25,kernel32_ReadFile,0,hFile,HANDLE,IN,1,1
25,kernel32_ReadFile,1,lpBuffer,LPVOID,OUT,1,1
25,kernel32_ReadFile,2,nNumberOfBytesToRead,DWORD,IN,0,1
25,kernel32_ReadFile,3,lpNumberOfBytesRead,LPDWORD,OUT,1,1
25,kernel32_ReadFile,4,lpOverlapped,LPOVERLAPPED,OUT,0,1
26,kernel32_ReadFileEx,0,hFile,HANDLE,IN,1,1
26,kernel32_ReadFileEx,1,lpBuffer,LPVOID,OUT,1,1
26,kernel32_ReadFileEx,2,nNumberOfBytesToRead,DWORD,IN,1,1
26,kernel32_ReadFileEx,3,lpOverlapped,LPOVERLAPPED,OUT,0,1
26,kernel32_ReadFileEx,4,lpCompletionRoutine,LPOVERLAPPED_COMPLETION_ROUTINE,OUT,0,1
27,kernel32_WriteFile,0,hFile,HANDLE,IN,1,1
27,kernel32_WriteFile,1,lpBuffer,LPCVOID,IN,1,1
27,kernel32_WriteFile,2,nNumberOfBytesToWrite,DWORD,IN,0,1
27,kernel32_WriteFile,3,lpNumberOfBytesWritten,LPDWORD,OUT,1,1
27,kernel32_WriteFile,4,lpOverlapped,LPOVERLAPPED,OUT,0,1
28,kernel32_WriteFileEx,0,hFile,HANDLE,IN,1,1
28,kernel32_WriteFileEx,1,lpBuffer,LPCVOID,IN,1,1
28,kernel32_WriteFileEx,2,nNumberOfBytesToWrite,DWORD,IN,1,1
28,kernel32_WriteFileEx,3,lpOverlapped,LPOVERLAPPED,OUT,0,1
28,kernel32_WriteFileEx,4,lpCompletionRoutine,LPOVERLAPPED_COMPLETION_ROUTINE,OUT,0,1
29,kernel32_CloseHandle,0,hObject,HANDLE,IN,0,1
30,kernel32_CreateProcessA,0,lpApplicationName,LPCSTR,IN,1,1
30,kernel32_CreateProcessA,1,lpCommandLine,LPSTR,IN,1,1
30,kernel32_CreateProcessA,2,lpProcessAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
30,kernel32_CreateProcessA,3,lpThreadAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
30,kernel32_CreateProcessA,4,bInheritHandles,BOOL,IN,0,1
30,kernel32_CreateProcessA,5,dwCreationFlags,DWORD,IN,1,1
30,kernel32_CreateProcessA,6,lpEnvironment,LPVOID,IN,0,1
30,kernel32_CreateProcessA,7,lpCurrentDirectory,LPCSTR,IN,0,1
30,kernel32_CreateProcessA,8,lpStartupInfo,LPSTARTUPINFOA,IN,1,1
30,kernel32_CreateProcessA,9,lpProcessInformation,LPPROCESS_INFORMATION,OUT,1,1
31,kernel32_CreateProcessW,0,lpApplicationName,LPCWSTR,IN,1,1
31,kernel32_CreateProcessW,1,lpCommandLine,LPWSTR,IN,1,1
31,kernel32_CreateProcessW,2,lpProcessAttributes,LPSECURITY_ATTRIBUTES,IN,1,1
31,kernel32_CreateProcessW,3,lpThreadAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
31,kernel32_CreateProcessW,4,bInheritHandles,BOOL,IN,0,1
31,kernel32_CreateProcessW,5,dwCreationFlags,DWORD,IN,1,1
31,kernel32_CreateProcessW,6,lpEnvironment,LPVOID,IN,0,1
31,kernel32_CreateProcessW,7,lpCurrentDirectory,LPCWSTR,IN,0,1
31,kernel32_CreateProcessW,8,lpStartupInfo,LPSTARTUPINFOW,IN,1,1
31,kernel32_CreateProcessW,9,lpProcessInformation,LPPROCESS_INFORMATION,OUT,1,1
32,kernel32_CreateThread,0,lpThreadAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
32,kernel32_CreateThread,1,dwStackSize,SIZE_T,IN,0,1
32,kernel32_CreateThread,2,lpStartAddress,LPTHREAD_START_ROUTINE,IN,1,1
32,kernel32_CreateThread,3,lpParameter,LPVOID,IN,1,1
32,kernel32_CreateThread,4,dwCreationFlags,DWORD,IN,1,1
32,kernel32_CreateThread,5,lpThreadId,LPDWORD,OUT,0,1
33,kernel32_CreateRemoteThread,0,hProcess,HANDLE,IN,1,1
33,kernel32_CreateRemoteThread,1,lpThreadAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
33,kernel32_CreateRemoteThread,2,dwStackSize,SIZE_T,IN,0,1
33,kernel32_CreateRemoteThread,3,lpStartAddress,LPTHREAD_START_ROUTINE,IN,1,1
33,kernel32_CreateRemoteThread,4,lpParameter,LPVOID,IN,1,1
33,kernel32_CreateRemoteThread,5,dwCreationFlags,DWORD,IN,1,1
33,kernel32_CreateRemoteThread,6,lpThreadId,LPDWORD,OUT,0,1
34,kernel32_CreateRemoteThreadEx,0,hProcess,HANDLE,IN,1,1
34,kernel32_CreateRemoteThreadEx,1,lpThreadAttributes,LPSECURITY_ATTRIBUTES,IN,0,1
34,kernel32_CreateRemoteThreadEx,2,dwStackSize,SIZE_T,IN,0,1
34,kernel32_CreateRemoteThreadEx,3,lpStartAddress,LPTHREAD_START_ROUTINE,IN,1,1
34,kernel32_CreateRemoteThreadEx,4,lpParameter,LPVOID,IN,1,1
34,kernel32_CreateRemoteThreadEx,5,dwCreationFlags,DWORD,IN,1,1
34,kernel32_CreateRemoteThreadEx,6,lpAttributeList,LPPROC_THREAD_ATTRIBUTE_LIST,IN,0,1
34,kernel32_CreateRemoteThreadEx,7,lpThreadId,LPDWORD,OUT,0,1
